id,text
96,Retinol burns my skin.
97,My dermatologist recommended ceramides for skin barrier. [100]
98,Everyone on TikTok is doing anti-pollution skincare now. [sparkles]
99,Is skinimalism worth the hype? Asking for a friend.
100,Finally found a multi-serum with  that works!
101,My skin is glowing today!
102,Loving how skinimalism fixed my routine overload issue.
103,Best sunscreen ever! [100]
104,Finally found a serum with polyglutamic acid that works!
105,Why is no one talking about bakuchiol?
106,This ceramides routine changed my life.
107,Heard antioxidants in mist is the new holy grail.
108,My skin is glowing today!
109,Switched to slugging and never going back.
110,Finally found a serum with polyglutamic acid that works!
111,Finally found a mist with antioxidants that works!
112,Why is no one talking about microbiome-friendly?
113,Switched to ceramides and never going back. [100]
114,SPF 50 is a must in summer.
115,Everyone on TikTok is doing niacinamide now.
116,Cleansing balm removed all my makeup.
117,Heard  in multi-step is the new holy grail. [sparkles]
118,Everyone on TikTok is doing anti-pollution skincare now.
119,Why is no one talking about niacinamide?
120,Why is no one talking about bakuchiol? [100]
121,Loving how anti-pollution skincare fixed my pollution issue.
122,Finally found a occlusive with  that works! [heart eyes]
123,Everyone on TikTok is doing skin flooding now.
124,My dermatologist recommended microbiome-friendly for acne.
125,SPF 50 is a must in summer.
126,Love the packaging of this serum.
127,Finally found a multi-serum with  that works!
128,My dermatologist recommended microbiome-friendly for acne.
129,Need a good eye cream.
130,Switched to anti-pollution skincare and never going back.
131,Switched to anti-pollution skincare and never going back.
132,This moisturizer smells great. [sparkles]
133,Everyone on TikTok is doing microbiome-friendly now. [100]
134,Finally found a serum with niacinamide that works! [100]
135,Just tried glass skin and my skin feels amazing!
136,Hydrating mask on point.
137,Need a good eye cream.
138,Hydrating mask on point.
139,Everyone on TikTok is doing glass skin now.
140,Just tried niacinamide and my skin feels amazing!
141,Loving how bakuchiol fixed my anti-aging issue.
142,SPF 50 is a must in summer.
143,SPF 50 is a must in summer.
144,Loving how bakuchiol fixed my anti-aging issue.
145,Finally found a product with  that works!
146,Finally found a serum with polyglutamic acid that works! [100]
147,My dermatologist recommended slugging for dryness. [heart eyes]
148,Everyone on TikTok is doing polyglutamic acid now.
149,Best sunscreen ever!
150,Retinol burns my skin.
151,Loving how anti-pollution skincare fixed my pollution issue.
152,My dermatologist recommended anti-pollution skincare for pollution.
153,Cleansing balm removed all my makeup.
154,This moisturizer smells great.
155,Is skinimalism worth the hype? Asking for a friend.
156,SPF 50 is a must in summer.
157,Hydrating mask on point.
158,Everyone on TikTok is doing glass skin now. [fire]
159,SPF 50 is a must in summer.
160,SPF 50 is a must in summer.
161,Heard bakuchiol in serum is the new holy grail. [fire]
162,My dermatologist recommended bakuchiol for anti-aging. [fire]
163,Loving how niacinamide fixed my oiliness issue.
164,Why is no one talking about skinimalism?
165,My dermatologist recommended niacinamide for oiliness.
166,Heard  in product is the new holy grail.
167,This moisturizer smells great. [100]
168,Why is no one talking about niacinamide?
169,My dermatologist recommended ceramides for skin barrier.
170,Heard antioxidants in mist is the new holy grail.
171,Switched to glass skin and never going back.
172,Is anti-pollution skincare worth the hype? Asking for a friend. [100]
173,My dermatologist recommended anti-pollution skincare for pollution.
174,Is ceramides worth the hype? Asking for a friend. [100]
175,Why is no one talking about skinimalism?
176,Finally found a serum with polyglutamic acid that works!
177,My dermatologist recommended polyglutamic acid for hydration. [fire]
178,Heard antioxidants in mist is the new holy grail. [heart eyes]
179,Cleansing balm removed all my makeup. [100]
180,This glass skin routine changed my life.
181,Retinol burns my skin. [fire]
182,This ceramides routine changed my life.
183,Finally found a non-comedogenic foundation. [sparkles]
184,Is niacinamide worth the hype? Asking for a friend.
185,My dermatologist recommended niacinamide for oiliness.
186,Switched to ceramides and never going back.
187,Finally found a occlusive with  that works!
188,Loving how ceramides fixed my skin barrier issue. [heart eyes]
189,This moisturizer smells great.
190,Why is no one talking about bakuchiol?
191,Finally found a multi-serum with  that works!
192,Finally found a multi-step with  that works!
193,Is glass skin worth the hype? Asking for a friend.
194,Switched to anti-pollution skincare and never going back.
195,This microbiome-friendly routine changed my life.
196,My dermatologist recommended glass skin for dullness. [sparkles]
197,My dermatologist recommended skinimalism for routine overload. [sparkles]
198,SPF 50 is a must in summer.
199,Hydrating mask on point. [sparkles]
200,Loving how skinimalism fixed my routine overload issue. [sparkles]
